date,project
2001/1/8, 31.748548108617342
2001/4/6, 102.88808664259977
2001/7/11, 162.22371256117958
2001/10/11, 236.5141764529617
2001/12/30, 346.6812509810079
2002/3/2, 443.727156535193
2002/4/30, 537.503643742853
2002/6/28, 631.9180662376393
2002/8/29, 729.0437137027156
2002/10/31, 824.5745229499744
2002/12/29, 931.1097159001729
2003/2/25, 1033.8172971276094
2003/4/25, 1127.5937843352692
2003/6/22, 1220.732336255802
2003/8/24, 1319.6123057604773
2003/11/12, 1419.0722164352678
2004/2/12, 1461.6978924387495
2004/5/14, 1478.3422040210614
2004/8/14, 1514.4725389192506
2004/11/14, 1576.1782794195287
2005/2/14, 1641.1316904724533
2005/5/17, 1709.738730897105
2005/8/17, 1772.2563890355448
2005/11/17, 1832.3382942595
2006/2/17, 1883.4891054636778
2006/5/20, 1925.708822648079
2006/8/20, 1959.4034046317831
2006/11/20, 1988.6324396055993
2007/2/20, 2021.9210627702232
2007/5/23, 2051.150097744039
2007/8/23, 2084.4387209086626
2007/11/23, 2111.232002967994
2008/2/23, 2138.837202665487
2008/5/25, 2165.6304847248184
2008/8/25, 2203.3846548993306
2008/11/25, 2242.7626603501662
2009/2/25, 2272.803612962144
2009/5/28, 2305.280318488606
2009/8/28, 2329.637847633453
2009/11/28, 2353.5894179592187
2010/2/28, 2396.621052781781
2010/5/31, 2433.563305318132
2010/8/31, 2467.6638461209172
2010/12/1, 2498.5167163710566
2011/3/3, 2525.3099984303876
2011/6/4, 2545.6079393844266
2011/9/4, 2563.470127423981
2011/12/5, 2587.8276565688275
2012/3/6, 2608.1255975228664
2012/6/6, 2625.987785562421
2012/9/6, 2643.849973601975
2012/12/7, 2661.7121616415293
2013/2/28, 2672.1768778667224
