date,project
2003/5/22, 64.37253794730475
2003/7/28, 95.73177455191205
2003/9/27, 130.94047607971152
2003/11/29, 165.1047239359815
2004/1/29, 198.12924331757267
2004/3/23, 231.26127463299304
2004/5/25, 263.55627429063566
2004/8/4, 294.01546596065316
2004/10/14, 327.84829152767986
2004/12/26, 359.7210505804553
2005/3/10, 388.9667996314613
2005/5/23, 417.65949394525273
2005/7/30, 446.929412653716
2005/9/28, 481.4621583915863
2005/12/4, 513.8046034179087
2006/2/16, 547.1982629980243
2006/5/1, 573.9552657315644
2006/7/14, 589.7894374051157
2006/9/26, 596.2216785460182
2006/12/9, 601.1330191595805
2007/2/21, 615.169762937184
2007/5/6, 636.2579546142742
2007/7/19, 655.9635094483278
2007/10/2, 671.6594174375755
2007/12/15, 696.4807285908644
2008/2/27, 714.6653828975777
2008/5/11, 726.3516440420192
2008/7/24, 738.4526962393717
2008/10/6, 753.8720768600119
2008/12/19, 761.1339001067363
2009/3/3, 770.8844696709266
2009/5/16, 782.4324671310644
2009/7/29, 793.1508824853803
2009/10/11, 804.9754073141254
2009/12/24, 817.0764595114779
2010/3/8, 828.071402234401
2010/5/21, 835.0566981125182
2010/8/4, 842.59504872785
2010/10/17, 854.4195735565951
2010/12/30, 862.3727152248377
2011/3/14, 869.7728021558659
2011/5/27, 877.0346254025903
2011/8/9, 884.9877670708331
2011/10/22, 891.9730629489502
2012/1/4, 896.7461398782087
2012/3/18, 901.7957441760747
2012/6/1, 910.9932590030503
2012/8/14, 915.9045996166126
2012/10/27, 921.6455223359967
2012/12/26, 928.9139863261792
